date,open,high,low,close,volume
1994-07-25,26.1000,26.1540,26.0731,26.1270,120900
1994-07-26,26.1180,26.1360,26.0731,26.1000,489600
1994-07-27,26.1000,26.1000,25.9921,26.1000,83200
1994-07-28,26.1000,26.2259,26.1000,26.1540,828200
1994-07-29,26.3338,26.4956,26.3248,26.4147,459100
1994-08-01,26.4327,26.5586,26.4057,26.5406,486300
1994-08-02,26.6305,26.6845,26.4866,26.5766,505500
1994-08-03,26.5675,26.6035,26.5226,26.5855,144100
1994-08-04,26.5675,26.5945,26.4237,26.4327,231700
1994-08-05,26.2978,26.3787,26.2709,26.3428,138400
1994-08-08,26.3698,26.4327,26.3428,26.4057,328600
1994-08-09,26.3068,26.4507,26.3068,26.4507,105900
1994-08-10,26.4687,26.5766,26.4327,26.5496,840300
1994-08-11,26.4866,26.6035,26.3158,26.4507,876200
1994-08-12,26.4956,26.6664,26.4956,26.6575,184100
1994-08-15,26.6845,26.7473,26.6485,26.6485,325900
1994-08-16,26.6664,26.8643,26.5586,26.8373,1089500
1994-08-17,26.8732,26.8912,26.8013,26.8193,133700
1994-08-18,26.7294,26.7923,26.7024,26.7294,620000
1994-08-19,26.7384,26.7654,26.6485,26.7114,103200
1994-08-22,26.7204,26.7204,26.6305,26.6845,79700
1994-08-23,26.8013,26.9631,26.7654,26.8373,268600
1994-08-24,26.8643,27.1250,26.8552,27.1250,254700
1994-08-25,27.0980,27.1609,26.9811,27.0531,147400
1994-08-26,27.1160,27.4936,27.1160,27.4397,339500
1994-08-29,27.5116,27.6105,27.4127,27.4217,350300
1994-08-30,27.4127,27.5385,27.3767,27.4936,36000
1994-08-31,27.4487,27.5565,27.3857,27.4217,356200
1994-09-01,27.3318,27.3497,27.2329,27.3318,294600
1994-09-02,27.4576,27.4576,27.1699,27.2149,99600
1994-09-06,27.1969,27.2508,27.1160,27.2239,229800
1994-09-07,27.2868,27.2868,27.1699,27.1969,27900
1994-09-08,27.2508,27.3678,27.2419,27.3318,284800
1994-09-09,27.0620,27.1160,26.9362,27.0441,488400
1994-09-12,27.0441,27.0800,26.9182,26.9631,129400
1994-09-13,27.0171,27.1160,26.9631,27.0441,389200
1994-09-14,26.9541,27.1070,26.9541,27.0710,423500
1994-09-15,27.1429,27.4127,27.1429,27.4127,779800
1994-09-16,27.2097,27.2911,27.1193,27.2188,571300
1994-09-19,27.2821,27.3997,27.2188,27.2459,167300
