DATE,BAA,DGS10,Calculated Credit Spread,Calculated scaled Credit Spread
2021-04-01,3.6,1.69,1.9100000000000001,3.8200000000000003
2021-06-01,3.44,1.62,1.8199999999999998,3.6399999999999997
2021-07-01,3.24,1.48,1.7600000000000002,3.5200000000000005
2021-09-01,3.23,1.31,1.92,3.84
2021-10-01,3.35,1.48,1.87,3.74
2021-11-01,3.28,1.58,1.6999999999999997,3.3999999999999995
2021-12-01,3.3,1.43,1.8699999999999999,3.7399999999999998
2022-02-01,3.97,1.81,2.16,4.32
2022-03-01,4.29,1.72,2.5700000000000003,5.140000000000001
2022-04-01,4.66,2.39,2.27,4.54
2022-06-01,5.27,2.94,2.3299999999999996,4.659999999999999
2022-07-01,5.21,2.88,2.33,4.66
2022-08-01,5.15,2.6,2.5500000000000003,5.1000000000000005
2022-09-01,5.69,3.26,2.4300000000000006,4.860000000000001
2022-11-01,6.07,4.07,2.0,4.0
2022-12-01,5.59,3.53,2.06,4.12
2023-02-01,5.59,3.39,2.1999999999999997,4.3999999999999995
2023-03-01,5.71,4.01,1.7000000000000002,3.4000000000000004
2023-05-01,5.77,3.59,2.1799999999999997,4.359999999999999
2023-06-01,5.75,3.61,2.14,4.28
2023-08-01,6.02,4.05,1.9699999999999998,3.9399999999999995
2023-09-01,6.16,4.18,1.9800000000000004,3.960000000000001
2023-11-01,6.29,4.77,1.5200000000000005,3.040000000000001
2023-12-01,5.64,4.22,1.42,2.84
2024-02-01,5.77,3.87,1.8999999999999995,3.799999999999999
2024-03-01,5.75,4.19,1.5599999999999996,3.119999999999999
2024-04-01,6.0,4.33,1.67,3.34
2024-05-01,5.95,4.63,1.3200000000000003,2.6400000000000006
2024-07-01,5.84,4.48,1.3599999999999994,2.719999999999999
2024-08-01,5.6,3.99,1.6099999999999994,3.219999999999999
2024-10-01,5.63,3.74,1.8899999999999997,3.7799999999999994
2024-11-01,5.78,4.37,1.4100000000000001,2.8200000000000003
